WH,WH-Bigram,WH-POS,WH-NBOR-POS,Root-POS,Class
that,which oil that meant,WDT,VBD,VBD,HUM
how,how long,WRB,RB,VB,NUM
who,who was,WP,VBD,VBD,HUM
what,what was,WP,VBD,VBN,LOC
who,who was,WP,VBD,VBD,HUM
who,who was,WP,VBD,VB,HUM
what,what deck,WDT,NN,VBZ,ENTY
what,what does,WP,VBZ,VBP,ENTY
who,who is,WP,VBZ,VBZ,HUM
what,what city,WP,NN,VBN,LOC
what,what household,WDT,NN,VBZ,ENTY
what,what was,WP,VBD,VBD,ENTY
what,what fraction,WDT,NN,VBN,NUM
what,what was,WP,VBD,VBD,ENTY
what,what do,WP,VBP,VB,DESC
what,what country,WDT,NN,VBZ,LOC
what,what do,WP,VBP,VB,DESC
what,what country,WDT,NN,VBZ,LOC
how,how many,WRB,JJ,VBZ,NUM
what,what does,WP,VBZ,VB,ABBR
what,what is,WP,VBZ,VBZ,ENTY
how,how much,WRB,JJ,VB,NUM
what,what makes,WP,VBZ,VBZ,DESC
what,what country,WDT,NN,VBZ,LOC
what,what ``,WP,``,NN,ENTY
who,who is,WP,VBZ,VBZ,HUM
,,,,VBD,HUM
what,what was,WP,VBD,VBN,ENTY
what,what city,WDT,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBP,NUM
when,when did,WRB,VBD,VB,NUM
what,what is,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,NUM
who,who invented,WP,VBD,VBD,HUM
how,how many,WRB,JJ,VBP,NUM
what,what product,WDT,NN,VBZ,ENTY
how,how long,WRB,JJ,VBZ,NUM
what,what city,WDT,NN,VBD,LOC
what,what does,WP,VBZ,VB,DESC
how,how do,WRB,VBP,VB,DESC
,,,,VB,ENTY
who,who was,WP,VBD,VBN,HUM
what,what are,WP,VBP,VBP,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what animal,WDT,NN,VBN,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what russian,WDT,JJ,VBZ,LOC
where,where can,WRB,MD,VBN,LOC
when,when was,WRB,VBD,VBD,NUM
what,what kind,WDT,NN,VBZ,ENTY
when,when did,WRB,VBD,VB,NUM
what,what then,WP,RB,VBN,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where do,WRB,VBP,VB,DESC
how,how do,WRB,VBP,VB,DESC
where,where do,WRB,VBP,NN,LOC
what,what is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,DESC
that,what was that alyssa,WDT,NNP,VBD,ENTY
what,what are,WP,VBP,VBP,LOC
where,where on,WRB,IN,VB,LOC
what,what u.s.,WP,NNP,NNS,LOC
which,which jude,WDT,NNP,VB,ENTY
what,what is,WP,VBZ,VBZ,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what vladimir,WP,NNP,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where did,WRB,VBD,RB,LOC
what,what does,WP,VBZ,NN,ENTY
what,what city,WDT,NN,VBN,LOC
what,what wrestling,WP,VBG,VBD,HUM
what,what attracts,WP,VBZ,VBZ,LOC
what,what game,WDT,NN,VBP,ENTY
what,what fastener,WDT,NN,VBD,ENTY
what,what \'s,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
where,where is,WRB,VBZ,VBZ,LOC
what,what army,WDT,NN,VBN,HUM
what,what does,WP,VBZ,VB,ENTY
that,that is,WDT,VBZ,VB,ENTY
what,what is,WP,VBZ,VBZ,LOC
what,what was,WP,VBD,VBD,HUM
why,why are,WRB,VBP,VBP,DESC
who,who invented,WP,VBD,VBD,HUM
what,what was,WP,VBD,VBD,ENTY
where,where is,WRB,VBZ,VBD,LOC
what,what is,WP,VBZ,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what do,WP,VBP,VB,ENTY
what,when reading what does,WP,VBZ,NN,ABBR
how,how many,WRB,JJ,VB,NUM
what,what plant,WDT,NN,VBZ,ENTY
what,what was,WP,VBD,VBD,LOC
when,what \'s when a,WRB,DT,VBG,ENTY
what,what baseball,WDT,NN,VBD,HUM
what,what kind,WDT,NN,VBN,ENTY
what,what video,WDT,NN,VBP,HUM
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what city,WP,NN,VBP,LOC
what,what tv,WP,NN,VBP,HUM
what,what is,WP,VBZ,VBZ,ENTY
that,that runs,WDT,VBZ,VB,ENTY
what,what does,WP,VBZ,VB,DESC
what,what percentage,WDT,NN,VBZ,NUM
what,what color,WDT,NN,VBN,ENTY
what,what is,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what does,WP,VBZ,VBN,NUM
what,what was,WP,VBD,VBD,HUM
who,who played,WP,VBD,VBD,HUM
where,who died where john,WRB,NNP,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what sign,WDT,NN,VBZ,ENTY
what,what animals,WDT,NNS,VB,ENTY
what,what is,WP,VBZ,VBZ,DESC
when,when is,WRB,VBZ,VBZ,NUM
what,what did,WP,VBD,VB,ENTY
what,what first,WDT,JJ,VBD,HUM
how,how can,WRB,MD,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
how,how did,WRB,VBD,JJ,DESC
what,what is,WP,VBZ,VBZ,DESC
where,where can,WRB,MD,VB,LOC
what,what is,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
why,why did,WRB,VBD,VBP,DESC
what,what russian,WDT,JJ,VBZ,LOC
when,when is,WRB,VBZ,VBZ,NUM
what,what makes,WP,VBZ,NN,DESC
how,how many,WRB,JJ,NN,NUM
what,what two,WP,CD,VBP,ENTY
whoever,why do where you whoever finds,WP,VBZ,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
that,what was that starred,WDT,VBD,VBD,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what do,WP,VBP,VB,ENTY
who,who was,WP,VBD,VBD,HUM
what,what can,WP,MD,VB,ENTY
what,what day,WDT,NN,VBZ,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what sport,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where is,WRB,VBZ,VBZ,LOC
that,that is,WDT,VBZ,VB,HUM
who,who graced,WP,VBD,VBD,HUM
what,what kind,WDT,NN,VBZ,ENTY
who,who portrayed,WP,VBD,VBD,HUM
how,how do,WRB,VBP,VB,ENTY
what,what does,WP,VBZ,VB,DESC
what,what is,WP,VBZ,VBZ,ENTY
how,how fast,WRB,RB,VBZ,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what are,WP,VBP,VBG,DESC
whom,whom did,WP,VBD,VBD,HUM
when,when was,WRB,VBD,VBD,NUM
what,what \'s,WP,VBZ,VBZ,LOC
how,how is,WRB,VBZ,VBN,DESC
what,what is,WP,VBZ,VBZ,DESC
who,who is,WP,VBZ,VBZ,HUM
where,where can,WRB,MD,VB,LOC
that,that is,WDT,VBZ,VB,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what kind,WDT,NN,VB,ENTY
what,what are,WP,VBP,VBP,HUM
what,what chapter,WDT,NN,VBZ,NUM
who,who is,WP,VBZ,VBZ,HUM
what,what asian,WP,JJ,VBN,HUM
what,what is,WP,VBZ,VBZ,ABBR
how,how fast,WRB,RB,VB,NUM
what,what is,WP,VBZ,VBZ,LOC
what,what arch,WDT,NN,VB,LOC
who,who sings,WP,VBZ,VBZ,HUM
how,how long,WRB,RB,VB,NUM
which,which way,WDT,NN,VB,LOC
which,which is,WDT,VBZ,VBZ,LOC
how,how can,WRB,MD,VB,DESC
how,how can,WRB,MD,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,ENTY
when,what do when the,WRB,DT,VB,DESC
what,what are,WP,VBP,VBP,HUM
why,why is,WRB,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what judith,WP,NNP,VBN,ENTY
which,which country,WDT,NN,VBZ,LOC
where,where is,WRB,VBZ,VBN,LOC
what,what is,WP,VBZ,VBZ,ENTY
what,what olympic,WP,NNP,IN,ENTY
who,who does,WP,VBZ,VBZ,HUM
what,what was,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,LOC
what,what does,WP,VBZ,VB,DESC
what,what did,WP,VBD,VB,DESC
what,what sport,WDT,NN,VBP,ENTY
who,who were,WP,VBD,VBD,HUM
what,what 2,WP,CD,VB,ENTY
what,what are,WP,VBP,VBP,DESC
how,how many,WRB,JJ,VBP,NUM
that,that ``,WDT,``,VB,ENTY
how,how far,WRB,RB,VB,NUM
who,who was,WP,VBD,VBD,HUM
what,what university,WP,NN,VBD,HUM
where,where are,WRB,VBP,VBP,LOC
what,what \'s,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,ENTY
what,what was,WP,VBD,VBD,NUM
what,what was,WP,VBD,VBD,HUM
how,how is,WRB,VBZ,VBZ,DESC
how,how far,WRB,RB,NN,NUM
where,where was,WRB,VBD,VBD,LOC
what,what type,WDT,NN,VBZ,ENTY
that,what is which attacks that surrounds,WDT,VBZ,VBZ,ENTY
what,what was,WP,VBD,VBD,NUM
what,what kind,WDT,NN,VBP,ENTY
what,what are,WP,VBP,VBP,ENTY
what,what letter,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,ENTY
,,,,VBN,HUM
what,what year,WDT,NN,VBP,NUM
what,what percentage,WDT,NN,VBP,NUM
what,what \'s,WP,VBZ,VBZ,NUM
what,what city,WDT,NN,VBD,LOC
what,what city,WDT,NN,VBZ,LOC
who,who claimed,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBZ,NUM
what,what double,WP,JJ,VBZ,HUM
what,what are,WP,VBP,VBP,LOC
what,what 19th,WDT,JJ,VBD,HUM
how,how many,WRB,JJ,VBZ,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what was,WP,VBD,VBD,HUM
what,what county,WDT,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,NUM
what,what facial,WDT,JJ,VBZ,DESC
who,who was,WP,VBD,VBN,HUM
how,how can,WRB,MD,VB,DESC
what,what \'s,WP,VBZ,VBZ,ENTY
what,what color,WDT,NN,VBD,ENTY
what,what does,WP,VBZ,VBN,NUM
what,what author,WDT,NN,VBD,HUM
how,how many,WRB,JJ,VBD,NUM
what,what kind,WDT,NN,VB,ENTY
what,what are,WP,VBP,VBP,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what happened,WP,VBD,VBD,DESC
how,how many,WRB,JJ,VB,NUM
what,what does,WP,VBZ,NN,DESC
what,what does,WP,VBZ,VB,DESC
where,where is,WRB,VBZ,VBZ,LOC
what,what lawyer,WDT,NN,VBD,HUM
what,what do,WP,VBP,VB,ENTY
who,who delivered,WP,VBD,VBD,HUM
how,how many,WRB,JJ,VBN,NUM
how,how is,WRB,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,LOC
what,what percent,WDT,NN,VBD,NUM
where,where does,WRB,VBZ,VBP,LOC
what,what was,WP,VBD,VBD,ENTY
why,why was,WRB,VBD,VBD,DESC
how,how do,WRB,VBP,VB,DESC
how,how do,WRB,VBP,VB,DESC
what,what horse,WDT,NN,VB,ENTY
how,how do,WRB,VBP,VB,DESC
where,where can,WRB,MD,VB,LOC
how,how do,WRB,VBP,VB,DESC
what,what former,WDT,JJ,VBN,HUM
which,which hair,WDT,NN,VBD,ENTY
why,why did,WRB,VBD,VB,DESC
what,what was,WP,VBD,VBD,HUM
who,who is,WP,VBZ,VBZ,HUM
who,who was,WP,VBD,VBD,HUM
what,what was,WP,VBD,VBD,ENTY
what,what historical,WDT,JJ,VBD,ENTY
what,what is,WP,VBZ,VBN,DESC
what,what was,WP,VBD,VBD,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what asian,WP,JJ,VBZ,LOC
how,how many,WRB,JJ,VBN,NUM
what,what are,WP,VBP,VBP,ENTY
when,when was,WRB,VBD,VBD,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what president,WP,NNP,VBD,HUM
what,what was,WP,VBD,VBD,NUM
when,when was,WRB,VBD,VBD,NUM
what,what language,WDT,NN,VBN,ENTY
what,what college,WDT,NN,VBD,HUM
how,how do,WRB,VBP,VB,DESC
what,what is,WP,VBZ,VBZ,DESC
that,what classical that glitters,WDT,NNS,VBD,HUM
what,what does,WP,VBZ,VB,DESC
what,what actor,WDT,NN,VBD,HUM
what,what does,WP,VBZ,VB,ENTY
who,who fired,WP,VBD,VBD,HUM
how,how old,WRB,JJ,VBZ,NUM
what,what type,WDT,NN,VBP,ENTY
what,what is,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
what,what city,WDT,NN,VBZ,LOC
what,what u.s.,WP,NNP,VBD,HUM
what,what is,WP,VBZ,VBN,DESC
,,,,VBZ,HUM
what,what former,WDT,JJ,VBN,HUM
what,what fictional,WDT,JJ,VBN,HUM
what,what ?,WP,.,VBZ,ENTY
what,what longtime,WDT,JJ,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
who,who were,WP,VBD,VBD,HUM
what,what infectious,WP,JJ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what year,WDT,NN,VB,NUM
what,what is,WP,VBZ,VBZ,DESC
that,what was that died,WDT,VBD,VBD,ENTY
where,where is,WRB,VBZ,VBN,LOC
what,what is,WP,VBZ,VBZ,ENTY
what,what \'s,WP,VBZ,VBZ,DESC
what,what did,WP,VBD,VBD,ENTY
how,how many,WRB,JJ,VBZ,NUM
how,how do,WRB,VBP,NN,DESC
how,how can,WRB,MD,NN,DESC
what,what is,WP,VBZ,VBZ,HUM
what,what italian,WP,JJ,VBN,ENTY
what,what city,WDT,NN,VBZ,LOC
who,what soap who like,WP,VBP,VBN,ENTY
how,how much,WRB,JJ,VBD,NUM
what,what does,WP,VBZ,VB,ABBR
who,who invented,WP,VBD,VBD,HUM
what,what new,WDT,JJ,VBN,HUM
who,who patented,WP,VBD,VBD,HUM
what,what are,WP,VBP,VBP,ENTY
what,what do,WP,VBP,VB,ENTY
how,how do,WRB,VBP,VB,ENTY
what,what were,WP,VBD,VBD,ENTY
how,how many,WRB,JJ,VBD,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBP,NUM
who,who created,WP,VBD,VBD,HUM
what,what boris,WP,NNP,VBD,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBN,DESC
who,who is,WP,VBZ,VBZ,HUM
what,what species,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,ABBR
what,what is,WP,VBZ,VBZ,LOC
who,who coined,WP,VBD,VBD,HUM
what,what age,WP,NN,VBD,ENTY
what,what is,WP,VBZ,VBZ,HUM
that,what is who invented that has,WDT,VBZ,VBZ,HUM
what,what does,WP,VBZ,NN,ABBR
what,what does,WP,VBZ,VB,DESC
who,who was,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
when,how many when hitting,WRB,VBG,VB,NUM
how,how many,WRB,JJ,VBD,NUM
what,what u.s.,WP,NNP,VBD,HUM
who,who created,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,NUM
where,where is,WRB,VBZ,VBZ,LOC
when,when did,WRB,VBD,NN,NUM
why,why were,WRB,VBD,VBN,DESC
what,what party,WDT,NN,VBD,HUM
what,what american,WP,NNP,VBD,HUM
where,where can,WRB,MD,VB,LOC
what,what state,WDT,NN,VB,LOC
which,which killer,WDT,NN,VBD,ENTY
what,what are,WP,VBP,VBP,LOC
where,where \'s,WRB,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
where,where is,WRB,VBZ,VBZ,LOC
who,who was,WP,VBD,VBD,HUM
what,what american,WDT,JJ,VBD,HUM
what,what state,WDT,NN,VBZ,LOC
why,why are,WRB,VBP,VBP,DESC
what,what was,WP,VBD,VBD,HUM
which,what is which maurizio,WDT,NNP,VBZ,LOC
who,who painted,WP,VBD,VBD,HUM
,,,,VB,HUM
what,what breed,WP,NN,VBD,ENTY
what,what are,WP,VBP,VBP,DESC
what,what color,WDT,NN,VBP,ENTY
what,what is,WP,VBZ,VBZ,LOC
what,what events,WDT,NNS,VBD,ENTY
what,what explorers,WDT,NNS,VBD,HUM
who,who is,WP,VBZ,VBZ,HUM
who,who banned,WP,VBD,VBD,HUM
what,what are,WP,VBP,VBP,DESC
what,what other,WDT,JJ,VBD,ENTY
when,when was,WRB,VBD,VBD,NUM
what,what is,WP,VBZ,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what year,WDT,NN,NN,NUM
what,what are,WP,VBP,VBP,HUM
what,what \'s,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,NUM
what,what organization,WDT,NN,VBN,HUM
what,what \'s,WP,VBZ,VBZ,LOC
which,which soft,WDT,JJ,VB,ENTY
how,what company how much,WRB,JJ,VBN,HUM
when,when was,WRB,VBD,VBD,NUM
how,how many,WRB,JJ,VBP,NUM
what,what year,WDT,NN,VB,NUM
what,what mountain,WDT,NN,VBN,LOC
why,why were,WRB,VBD,VBD,DESC
who,who was,WP,VBD,VBN,HUM
how,how many,WRB,JJ,VBN,NUM
,,,,VB,ENTY
where,where are,WRB,VBP,VBP,LOC
how,how can,WRB,MD,VB,DESC
what,what \'s,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,LOC
that,what is that can,WDT,MD,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
,,,,VB,LOC
what,what astronomical,WDT,JJ,VBZ,ENTY
what,what information,WDT,NN,VB,DESC
what,what was,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what was,WP,VBD,VBD,ENTY
what,what makes,WP,VBZ,VBZ,DESC
what,what author,WDT,NN,VBP,HUM
which,which is,WDT,VBZ,VBZ,ENTY
what,what plant,WDT,NN,VBZ,ENTY
what,what country,WDT,NN,VBP,LOC
which,which begins,WDT,VBZ,VB,HUM
which,which condiment,WDT,NN,VBN,ENTY
what,what u.s.,WP,NNP,VBZ,LOC
why,why did,WRB,VBD,VB,DESC
what,what was,WP,VBD,VBD,DESC
what,what texas,WP,NNP,VBD,LOC
what,what are,WP,VBP,VBP,ENTY
what,what country,WP,NN,RB,LOC
what,what color,WDT,NN,VBP,ENTY
what,what barroom,WDT,NN,VBD,HUM
what,what excuse,WP,NN,VBP,DESC
who,who was,WP,VBD,VBD,HUM
what,what sports,WDT,NNS,VBZ,ENTY
what,what country,WDT,NN,VBZ,LOC
what,what two,WP,CD,VBP,LOC
that,who was that tried,WDT,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what card,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what mammal,WDT,NN,VBZ,ENTY
what,what was,WP,VBD,VBD,DESC
what,what actor,WDT,NN,VBN,HUM
how,how many,WRB,JJ,VBP,NUM
what,what city,WDT,NN,VBZ,LOC
where,where can,WRB,MD,VB,LOC
who,who is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,ENTY
what,what does,WP,VBZ,VBZ,DESC
who,who replaced,WP,VBD,VBD,HUM
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,DESC
when,when are,WRB,VBP,VBP,NUM
what,what sport,WDT,NN,VBZ,ENTY
what,what \'s,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
what,what century,WDT,NN,VB,NUM
what,what types,WDT,NNS,VBP,ENTY
how,how many,WRB,JJ,VBD,NUM
what,what soft,WDT,JJ,VB,ENTY
what,what \'s,WP,VBZ,VBZ,ENTY
what,what are,WP,VBP,VBP,ENTY
,,,,VB,ENTY
where,where is,WRB,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
what,what golfer,WDT,NN,VBN,HUM
who,who murdered,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,NUM
what,what does,WP,VBZ,VB,ENTY
which,which of,WDT,IN,VBD,HUM
what,what is,WP,VBZ,VBZ,NUM
when,what does when used,WRB,VBN,WP,ABBR
how,how do,WRB,VBP,VB,DESC
what,what is,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
what,what 1966,WP,CD,VBD,ENTY
how,how many,WRB,JJ,VBP,NUM
who,who said,WP,VBD,VBD,HUM
what,what holidays,WDT,NNS,VBN,ENTY
who,who portrayed,WP,VBD,VBD,HUM
what,what are,WP,VBP,VBP,DESC
that,what \'s that is,WDT,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
what,what auto,WDT,NN,VBD,ENTY
what,what are,WP,VBP,VBP,ENTY
what,what was,WP,VBD,VBN,ENTY
how,how do,WRB,VBP,VB,DESC
where,where is,WRB,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
who,who portrayed,WP,VBD,VBD,HUM